,winner_index,loser_index
1808,569,843
1809,1092,569
1810,112,569
1811,569,654
1812,569,1381
1813,662,569
1814,569,662
1815,569,287
1816,569,287
1817,1139,569
1818,8,82
1819,8,207
1820,207,8
1821,8,207
1822,8,207
1823,8,207
1824,8,1390
1825,1206,8
1826,1206,8
1827,1206,8
1828,405,490
1829,221,490
1830,221,490
1831,221,490
1832,221,490
1833,221,490
1834,221,490
1835,1173,513
1836,1173,513
1837,1173,513
1838,1173,513
1839,421,1215
1840,15,1215
1841,1164,475
1842,1164,475
1843,1164,475
1844,634,686
1845,1294,686
1846,911,469
1847,911,469
1848,469,911
1849,1360,893
1850,947,809
1851,15,809
1852,15,809
1853,1006,404
1854,852,511
1855,852,511
1856,511,852
1857,201,511
1858,201,511
1859,201,511
1860,201,511
1861,201,511
1862,1187,1325
1863,1325,1187
1864,1187,397
1865,397,1187
1866,1187,397
1867,397,1187
1868,397,1187
1869,1187,397
1870,1314,204
1871,204,1314
1872,204,1314
1873,204,1024
1874,1267,1353
1875,55,1353
1876,939,360
1877,360,939
1878,433,939
1879,939,263
1880,263,939
1881,939,263
1882,820,1154
1883,820,1154
1884,820,1154
1885,820,1154
1886,820,1154
1887,820,1154
1888,856,765
1889,1043,5
1890,1337,1043
1891,841,1043
1892,1043,4
1893,1043,4
1894,1043,4
1895,1043,1371
1896,1043,1371
1897,1043,1230
1898,1394,399
1899,799,1022
1900,97,1022
1901,1022,1315
1902,103,1022
1903,1022,1093
1904,1118,882
1905,1060,896
1906,896,1060
1907,1060,896
1908,1060,896
1909,947,896
1910,543,990
1911,33,543
1912,300,543
1913,543,300
1914,778,543
1915,140,47
1916,140,47
1917,47,492
1918,47,492
1919,332,47
1920,47,822
1921,332,47
1922,822,47
1923,47,332
1924,822,47
1925,822,47
1926,47,1170
1927,47,911
1928,177,1025
1929,673,1167
1930,673,1167
1931,357,673
1932,357,673
1933,517,160
1934,300,160
1935,1386,15
1936,372,370
1937,625,1036
1938,625,419
1939,625,419
1940,305,625
1941,625,1036
1942,1036,625
1943,625,1036
1944,625,550
1945,625,550
1946,625,550
1947,625,550
1948,625,550
1949,625,107
1950,1432,421
1951,765,1432
1952,1432,798
1953,273,586
1954,586,1014
1955,586,1392
1956,586,422
1957,586,1392
1958,945,586
1959,351,586
1960,586,1249
1961,65,586
1962,1403,586
1963,586,319
1964,586,372
1965,717,127
1966,127,717
1967,717,127
1968,717,127
1969,717,127
1970,717,127
1971,127,863
1972,863,127
1973,863,127
